Nr. ;Datum; Anrede  ;  Titel  ;  Vorname  ;  Nachname  ;  Geburtsdatum  ;  Straße  ;  PLZ  ;  Stadt  ;  Telefon  ;  Mobil  ;  Telefax  ;  E-Mail ;  Newsletter
579;12.11.2016; Frau ; Dr. ; Astrid ; Westermann ; 12.11.1925 ; Immelmannstr. 25 ;25938; Wyk auf Föhr ; 04681 / 97345249 ; 0179 / 2813932 ; 04681 / 95637134 ; a.westermann@mail.xyz ; ja
580;16.06.2016; Herr ; Dr. ; Niels ; Degner ; 21.2.1938 ; Im Stemmen 51 ;86673; Bergheim ; 08431 / 95595240 ; 0160 / 4867171 ; 08431 / 94044833 ; n.degner@mail.xyz ; ja
581;18.06.2016; Frau ; Prof. ; Nina ; Bryan ; 1.8.1994 ; Dorotheenstr. 172 ;56291; Badenhard ; 06746 / 98119707 ; 0177 / 2380748 ; 06746 / 90489172 ; n.bryan@mail.xyz ; ja
582;03.02.2016; Frau ; Prof. ; Annabel ; Bartl ; 1.1.1981 ; Nienkamp 125 ;36329; Romrod ; 06636 / 81442643 ; 0178 / 5227689 ; 06636 / 52365221 ; a.bartl@mail.xyz ; ja
583;27.11.2016; Frau ; Dr. ; Nele ; Swanson ; 11.11.1951 ; Soetenkamp 194a ;45327; Essen ; 0201 / 45094495 ; 0153 / 7017451 ; 0201 / 65601054 ; nele.swanson@mail.xyz ; ja
584;26.12.2016; Herr ; Prof. ; Henri ; Wassmann ; 13.11.1947 ; Olpener Str. 84 ;67377; Gommersheim ; 06327 / 30515706 ; 0160 / 7566221 ; 06327 / 25776623 ; henri.wassmann@mail.xyz ; ja
585;26.11.2016; Frau ; Dr. ; Nelly ; Bailey ; 20.5.1968 ; Schmittingheide 85 ;82438; Eschenlohe ; 08824 / 81669651 ; 0177 / 4204320 ; 08824 / 80785846 ; nelly.bailey@mail.xyz ; ja
586;17.06.2016; Frau ; Dr. ; Maja ; Brehmer ; 3.7.1952 ; Weseler Str. 98 ;39590; Heeren ; 03931 / 26926948 ; 0174 / 2678682 ; 03931 / 40570952 ; maja.brehmer@mail.xyz ; ja
587;22.07.2016; Frau ; Dr. ; Zoé ; Kellner ; 8.6.1992 ; Tondernstr. 155 ;97239; Aub ; 09335 / 10736003 ; 0150 / 7556857 ; 09335 / 33015743 ; z.kellner@mail.xyz ; ja
588;12.08.2016; Herr ; Dr. ; Peter ; Popp ; 7.4.1941 ; Jakobusstr. 82 ;78595; Hausen ob Verena ; 07424 / 70759013 ; 0164 / 6530999 ; 07424 / 32418549 ; peter.popp@mail.xyz ; ja
589;15.06.2016; Frau ; Prof. ; Lucia ; Aberle ; 18.11.1940 ; Sentmaringer Weg 186 ;56858; Grenderich ; 06542 / 76043558 ; 0174 / 4304940 ; 06542 / 21661609 ; l.aberle@mail.xyz ; ja
590;07.04.2016; Herr ; Prof. ; Niclas ; Jäckel ; 8.4.1998 ; Olpener Str. 74 ;25588; Oldendorf ; 04821 / 36724143 ; 0176 / 1906096 ; 04821 / 16881015 ; niclas.jaeckel@mail.xyz ; ja
591;17.10.2016; Frau ; Prof. ; Mila ; Born ; 19.2.1949 ; Kurze Str. 153 ;17348; Petersdorf ; 03963 / 36705562 ; 0164 / 9057157 ; 03963 / 80358385 ; mila.born@mail.xyz ; ja
592;28.11.2016; Herr ; Dr. ; Johann ; Seger ; 3.12.1932 ; Dreizehnerstr. 108 ;93476; Blaibach ; 09941 / 23049643 ; 0150 / 3183525 ; 09941 / 95178743 ; j.seger@mail.xyz ; ja
593;10.09.2016; Frau ; Dr. ; Mira ; Brown ; 5.9.1956 ; Dachsleite 162 ;35457; Lollar ; 06406 / 58254252 ; 0161 / 5559909 ; 06406 / 75120023 ; mira.brown@mail.xyz ; ja
594;06.05.2016; Frau ; Dr. ; Kathrin ; Kallenbach ; 18.7.1989 ; Landoisstr. 9 ;18055; Rostock ; 0381 / 36969338 ; 0165 / 4260366 ; 0381 / 86246256 ; kathrin.kallenbach@mail.xyz ; ja
595;15.09.2016; Herr ; Dr. ; Ali ; Ray ; 27.10.1995 ; Am Oedingteich 183 ;97618; Wülfershausen an der Saale ; 09762 / 77474893 ; 0162 / 9949263 ; 09762 / 61695357 ; ali.ray@mail.xyz ; ja
596;18.12.2016; Herr ; Dr. ; Riccardo ; Gering ; 9.11.1946 ; Hacklenburg 190 ;53547; Dattenberg ; 02644 / 93614726 ; 0150 / 6109816 ; 02644 / 40990229 ; riccardo.gering@mail.xyz ; ja
597;24.11.2016; Herr ; Dr. ; Thorben ; Herrmann ; 26.12.1932 ; Dachsleite 64 ;76848; Spirkelbach ; 06392 / 4682574 ; 0154 / 7693564 ; 06392 / 86679747 ; t.herrmann@mail.xyz ; ja
598;29.06.2016; Herr ; Dr. ; Simon ; Bott ; 3.1.1934 ; Hermann-Treff-Weg 169 ;84453; Mühldorf am Inn ; 08631 / 64877713 ; 0170 / 5928249 ; 08631 / 39762287 ; s.bott@mail.xyz ; ja
599;21.04.2016; Frau ; Dr. ; Daniela ; Pilz ; 5.2.1987 ; Friesenring 153 ;95697; Nagel ; 09236 / 41626142 ; 0169 / 1787401 ; 09236 / 86466227 ; d.pilz@mail.xyz ; ja
600;15.03.2016; Herr ; Prof. ; Swen ; Teske ; 17.8.1942 ; Langestr. 104 ;92431; Neunburg vorm Wald ; 09672 / 35993982 ; 0176 / 1662147 ; 09672 / 7307673 ; s.teske@mail.xyz ; ja
601;06.05.2016; Frau ; Dr. ; Karolina ; Hutter ; 14.10.1927 ; Nienkamp 126 ;29574; Ebstorf ; 05822 / 27936453 ; 0159 / 7341920 ; 05822 / 14101843 ; karolina.hutter@mail.xyz ; ja
602;17.05.2016; Frau ; Dr. ; Lara ; McLaughlin ; 5.11.1937 ; Hüfferstr. 26 ;4179; Leipzig ; 0341 / 91763025 ; 0164 / 5139865 ; 0341 / 81893573 ; l.mclaughlin@mail.xyz ; ja
603;06.03.2016; Frau ; Dr. ; Fabienne ; Michels ; 4.8.1977 ; Am Blütenhain 140 ;42289; Wuppertal ; 0202 / 16057931 ; 0163 / 1558233 ; 0202 / 74905176 ; fabienne.michels@mail.xyz ; ja
604;21.08.2016; Frau ; Dr. ; Marlene ; Vaupel ; 26.5.1995 ; Pötterhoek 85 ;24217; Höhndorf ; 04344 / 13181241 ; 0168 / 5596385 ; 04344 / 94881128 ; marlene.vaupel@mail.xyz ; ja
605;14.02.2016; Herr ; Dr. ; Wilhelm ; Semmler ; 19.10.1975 ; Frauenstr. 128 ;6449; Groß Schierstedt ; 03473 / 17849379 ; 0160 / 6684362 ; 03473 / 35915333 ; wilhelm.semmler@mail.xyz ; ja
606;28.01.2016; Herr ; Dr. ; Henry ; Hauck ; 14.9.1959 ; Telemannstr. 120 ;27419; Vierden ; 04282 / 84540736 ; 0170 / 5654117 ; 04282 / 75131816 ; henry.hauck@mail.xyz ; ja
607;17.03.2016; Herr ; Dr. ; Simon ; Neuberger ; 7.7.1945 ; Zur Gräfte 36 ;24392; Norderbrarup ; 04641 / 11183375 ; 0157 / 2337256 ; 04641 / 5975072 ; simon.neuberger@mail.xyz ; ja
608;08.03.2016; Herr ; Dr. ; Uwe ; Hopkins ; 18.4.1943 ; Steinfurter Str. 57 ;57642; Alpenrod ; 02662 / 67363401 ; 0153 / 5966064 ; 02662 / 39547618 ; uwe.hopkins@mail.xyz ; ja
609;27.04.2016; Frau ; Dr. ; Marie ; Eck ; 19.2.1945 ; Telgenweg 152 ;25859; Hooge ; 04849 / 26088880 ; 0150 / 4726047 ; 04849 / 13431768 ; marie.eck@mail.xyz ; ja
610;19.05.2016; Frau ; Prof. ; Waldtraut ; Breyer ; 8.4.1957 ; Handorfer Str. 188 ;71069; Sindelfingen ; 07031 / 61140061 ; 0165 / 6827446 ; 07031 / 17477910 ; w.breyer@mail.xyz ; ja
611;18.10.2016; Herr ; Dr. ; Björn ; Hense ; 17.7.1929 ; Wiedehagen 128 ;76831; Billigheim-Ingenheim ; 06349 / 46634958 ; 0164 / 6305240 ; 06349 / 71929261 ; bjoern.hense@mail.xyz ; ja
612;15.11.2016; Frau ; Dr. ; Sofia ; Holz ; 28.9.1981 ; Agrippastr. 106 ;44623; Herne ; 02323 / 3054193 ; 0162 / 2299438 ; 02323 / 10542731 ; sofia.holz@mail.xyz ; ja
613;30.01.2016; Frau ; Dr. ; Hannelore ; Budde ; 21.12.1982 ; Am Hörsterfriedhof 138 ;56727; Sankt Johann ; 02651 / 88543010 ; 0163 / 5419860 ; 02651 / 88858703 ; hannelore.budde@mail.xyz ; ja
614;05.05.2016; Frau ; Dr. ; Lorena ; Hardt ; 18.7.1968 ; Dahlweg 79 ;31787; Hameln ; 05151 / 42805744 ; 0159 / 4082644 ; 05151 / 38468353 ; l.hardt@mail.xyz ; ja
615;26.11.2016; Herr ; Prof. ; Jürgen ; Berthold ; 14.1.1939 ; Hensenstr. 116 ;61239; Ober-Mörlen ; 06002 / 47060392 ; 0159 / 5965494 ; 06002 / 56896170 ; juergen.berthold@mail.xyz ; ja
616;19.02.2016; Herr ; Dr. ; Mathias ; Weichert ; 19.2.1933 ; Johanniterstr. 3 ;54649; Niederpierscheid ; 06550 / 39077499 ; 0169 / 5183795 ; 06550 / 80806501 ; mathias.weichert@mail.xyz ; ja
617;22.01.2016; Frau ; Prof. ; Ayleen ; Funke ; 15.12.1943 ; Altenhofer Weg 172 ;12685; Marzahn ; 030 / 3168892 ; 0164 / 8768537 ; 030 / 86715677 ; a.funke@mail.xyz ; ja
618;15.08.2016; Herr ; Dr. ; Erich ; Daum ; 10.9.1987 ; Gasselstiege 12 ;35239; Steffenberg ; 06464 / 96948735 ; 0164 / 2530089 ; 06464 / 42911355 ; e.daum@mail.xyz ; ja
619;12.10.2016; Frau ; Dr. ; Annalena ; Morgenroth ; 22.10.1969 ; Hogenbergstr. 195 ;75239; Eisingen ; 07232 / 74915532 ; 0167 / 8750544 ; 07232 / 48405185 ; a.morgenroth@mail.xyz ; ja
620;10.11.2016; Frau ; Dr. ; Hannelore ; Ford ; 9.9.1983 ; Neusser Str. 7 ;86922; Eresing ; 08193 / 84378781 ; 0175 / 2779381 ; 08193 / 9756095 ; h.ford@mail.xyz ; ja
621;18.12.2016; Herr ; Dr. ; Robin ; Sonntag ; 14.7.1996 ; Manfred-von-Richthofen-Str. 80 ;37139; Adelebsen ; 05506 / 67413018 ; 0168 / 9500616 ; 05506 / 99806710 ; robin.sonntag@mail.xyz ; ja
622;30.01.2016; Herr ; Dr. ; Jonah ; Rapp ; 8.5.1958 ; Dingbängerweg 149 ;83224; Staudach-Egerndach ; 08641 / 95440485 ; 0151 / 4906335 ; 08641 / 64670628 ; j.rapp@mail.xyz ; ja
623;17.06.2016; Frau ; Dr. ; Ida ; McKenzie ; 10.5.1966 ; Werseblick 86 ;36179; Bebra ; 06622 / 14445259 ; 0167 / 8268099 ; 06622 / 89675230 ; ida.mckenzie@mail.xyz ; ja
624;06.03.2016; Frau ; Dr. ; Christina ; Schwabe ; 28.11.1989 ; Mersmannsstiege 170 ;27243; Harpstedt ; 04244 / 78152650 ; 0156 / 7017271 ; 04244 / 18894723 ; c.schwabe@mail.xyz ; ja
625;30.03.2016; Herr ; Dr. ; Rolf ; Wegner ; 20.12.1987 ; Simon-Meister-Str. 7 ;70376; Stuttgart ; 0711 / 62457573 ; 0158 / 9497180 ; 0711 / 17983167 ; rolf.wegner@mail.xyz ; ja
626;08.06.2016; Frau ; Dr. ; Bärbel ; Helbig ; 15.9.1931 ; Im Sonnentau 162 ;17091; Wildberg ; 03960 / 10750539 ; 0171 / 7215758 ; 03960 / 72132816 ; baerbel.helbig@mail.xyz ; ja
627;18.03.2016; Herr ; Dr. ; Joshua ; Kretzschmar ; 22.5.1988 ; Salzmannstr. 16 ;92723; Gleiritsch ; 09655 / 2149251 ; 0155 / 2748095 ; 09655 / 4344556 ; j.kretzschmar@mail.xyz ; ja
628;24.10.2016; Herr ; Dr. ; Vincent ; Harper ; 4.12.1993 ; Straßburger Weg 8 ;54311; Trierweiler ; 0651 / 80288869 ; 0165 / 5578838 ; 0651 / 42376438 ; vincent.harper@mail.xyz ; ja
629;01.12.2016; Herr ; Dr. ; Adrian ; Krömer ; 22.8.1988 ; Hacklenburg 12 ;29643; Neuenkirchen ; 05195 / 99897384 ; 0157 / 4183952 ; 05195 / 4680628 ; adrian.kroemer@mail.xyz ; ja
630;03.08.2016; Frau ; Dr. ; Waltraut ; Barnett ; 6.8.2000 ; Westenkamp 88 ;54538; Kinderbeuern ; 06541 / 25845528 ; 0167 / 9870324 ; 06541 / 80764920 ; waltraut.barnett@mail.xyz ; ja
631;20.08.2016; Frau ; Dr. ; Elfriede ; Späth ; 4.5.1936 ; Sternstr. 56 ;73450; Neresheim ; 07326 / 61686645 ; 0156 / 3627968 ; 07326 / 74586112 ; elfriede.spaeth@mail.xyz ; ja
632;13.01.2016; Herr ; Dr. ; Patrick ; Schön ; 19.4.1972 ; Osthuesheide 29 ;56291; Bickenbach ; 06747 / 75199134 ; 0165 / 1506870 ; 06747 / 99321010 ; patrick.schoen@mail.xyz ; ja
633;15.12.2016; Frau ; Dr. ; Samira ; Birnenmost ; 20.7.1948 ; Am Berler Kamp 157 ;92284; Poppenricht ; 09621 / 57841687 ; 0169 / 3364448 ; 09621 / 27174758 ; s.birnenmost@mail.xyz ; ja
634;17.12.2016; Frau ; Dr. ; Nelly ; Bohn ; 7.1.1929 ; Handorfer Str. 85 ;31618; Liebenau ; 05023 / 12623973 ; 0170 / 2969332 ; 05023 / 38696542 ; n.bohn@mail.xyz ; ja
635;15.08.2016; Frau ; Dr. ; Carin ; Scheele ; 10.11.1948 ; Mecklenbecker Str. 133 ;89257; Illertissen ; 07303 / 20089140 ; 0158 / 2590261 ; 07303 / 58491459 ; c.scheele@mail.xyz ; ja
636;07.11.2016; Frau ; Dr. ; Joelina ; Faulhaber ; 15.2.1974 ; Gustav-Tweer-Weg 175 ;58802; Balve ; 02375 / 13135645 ; 0172 / 8496547 ; 02375 / 67391621 ; joelina.faulhaber@mail.xyz ; ja
637;15.10.2016; Herr ; Dr. ; Jesse ; Fricke ; 28.8.1968 ; Hillscheider Weg 175 ;14469; Potsdam ; 0331 / 99067738 ; 0173 / 2365840 ; 0331 / 70989718 ; j.fricke@mail.xyz ; ja
638;02.02.2016; Herr ; Prof. ; Lars ; Schwarzer ; 6.2.1979 ; Sophienstr. 46 ;74199; Untergruppenbach ; 07132 / 95485262 ; 0178 / 4634107 ; 07132 / 84857735 ; l.schwarzer@mail.xyz ; ja
639;15.06.2016; Herr ; Dr. ; Dieter ; Bach ; 10.3.1990 ; Böttcherstr. 83 ;33189; Schlangen ; 05252 / 67436509 ; 0163 / 2388597 ; 05252 / 54169174 ; dieter.bach@mail.xyz ; ja
640;28.06.2016; Frau ; Dr. ; Dilara ; Wiesner ; 10.12.1930 ; Max-Winkelmann-Str. 55 ;72458; Ebingen ; 07431 / 22865898 ; 0174 / 2010468 ; 07431 / 96480430 ; dilara.wiesner@mail.xyz ; ja
641;23.08.2016; Frau ; Prof. ; Joy ; Rothe ; 19.12.1984 ; Pötterhoek 28 ;92331; Lupburg ; 09492 / 66020286 ; 0170 / 2830275 ; 09492 / 72874972 ; j.rothe@mail.xyz ; ja
642;28.03.2016; Herr ; Dr. ; Justus ; Jakob ; 6.9.1960 ; Bünkamp 164 ;92705; Leuchtenberg ; 09659 / 54835090 ; 0165 / 5402798 ; 09659 / 63703848 ; justus.jakob@mail.xyz ; ja
643;24.04.2016; Herr ; Dr. ; Florian ; Scholz ; 18.6.1953 ; Goebenstr. 103 ;83125; Eggstätt ; 08056 / 7028885 ; 0168 / 8042930 ; 08056 / 73328220 ; florian.scholz@mail.xyz ; ja
644;12.09.2016; Herr ; Dr. ; Henning ; Scherer ; 12.6.1927 ; Memmertweg 21 ;25923; Ellhöft ; 04663 / 29536540 ; 0176 / 9185407 ; 04663 / 63843634 ; h.scherer@mail.xyz ; ja
645;08.01.2016; Herr ; Dr. ; Michel ; Jimenez ; 6.5.1921 ; Grevener Str. 89 ;41179; Mönchengladbach ; 02161 / 22861846 ; 0154 / 3504231 ; 02161 / 41919588 ; m.jimenez@mail.xyz ; ja
646;23.04.2016; Herr ; Dr. ; Bernd ; Breuer ; 15.1.1925 ; Weseler Str. 101 ;58455; Witten ; 02302 / 8332101 ; 0176 / 3459038 ; 02302 / 67604050 ; b.breuer@mail.xyz ; ja
647;11.10.2016; Frau ; Dr. ; Marieke ; Hopkins ; 9.8.1974 ; Breul 23 ;25715; Averlak ; 04855 / 65411003 ; 0153 / 5145727 ; 04855 / 42706164 ; marieke.hopkins@mail.xyz ; ja
648;01.11.2016; Frau ; Dr. ; Hertha ; Saupe ; 3.4.1970 ; Mersmannsstiege 94 ;55270; Essenheim ; 06136 / 87736466 ; 0177 / 2532157 ; 06136 / 50638728 ; hertha.saupe@mail.xyz ; ja
649;11.03.2016; Frau ; Dr. ; Annette ; Bacher ; 15.4.1984 ; Am Grauen Stein 141 ;76596; Forbach ; 07228 / 32051563 ; 0171 / 7956099 ; 07228 / 67538763 ; a.bacher@mail.xyz ; ja
650;27.08.2016; Frau ; Prof. ; Katrin ; Veit ; 26.1.1960 ; Norbertstr. 72 ;79424; Auggen ; 07631 / 18028408 ; 0178 / 3674093 ; 07631 / 65851758 ; katrin.veit@mail.xyz ; ja
651;17.05.2016; Frau ; Prof. ; Rebecca ; Dahms ; 24.5.1974 ; Starweg 65 ;32545; Bad Oeynhausen ; 05731 / 13346390 ; 0177 / 9997443 ; 05731 / 113696 ; r.dahms@mail.xyz ; ja
652;22.05.2016; Frau ; Dr. ; Layla ; Steinke ; 19.2.1931 ; Rektoratsweg 143 ;67718; Schmalenberg ; 06307 / 78899644 ; 0159 / 7565609 ; 06307 / 10857630 ; l.steinke@mail.xyz ; ja
653;23.03.2016; Frau ; Dr. ; Marie ; Keck ; 8.8.1962 ; Starweg 14 ;98693; Ilmenau ; 03677 / 23901328 ; 0158 / 6759839 ; 03677 / 92335797 ; m.keck@mail.xyz ; ja
654;30.01.2016; Herr ; Dr. ; Reiner ; Knight ; 21.2.1936 ; Hüfferstr. 28 ;68165; Mannheim ; 0621 / 56909501 ; 0159 / 7407563 ; 0621 / 97595677 ; r.knight@mail.xyz ; ja
655;14.02.2016; Frau ; Prof. ; Birgit ; Mutschler ; 27.8.1921 ; Scheibenstr. 111 ;75447; Sternenfels ; 07045 / 55630212 ; 0151 / 6142117 ; 07045 / 75349888 ; b.mutschler@mail.xyz ; ja
656;08.04.2016; Frau ; Prof. ; Sinah ; Mangold ; 19.3.1920 ; Carossastr. 47 ;93059; Regensburg ; 0941 / 82185311 ; 0174 / 2486443 ; 0941 / 65210585 ; sinah.mangold@mail.xyz ; ja
657;08.12.2016; Frau ; Dr. ; Monica ; Ratz ; 28.5.1990 ; Bielefelder Str. 194 ;56422; Wirges ; 02602 / 95510365 ; 0167 / 7494069 ; 02602 / 49718644 ; monica.ratz@mail.xyz ; ja
658;17.01.2016; Frau ; Dr. ; Saskia ; Wessels ; 2.12.1922 ; Ölbergstr. 74 ;89073; Ulm ; 0731 / 52347067 ; 0175 / 9730001 ; 0731 / 37817451 ; s.wessels@mail.xyz ; ja
659;11.12.2016; Frau ; Prof. ; Christina ; Kloster ; 8.10.1986 ; Am Pulverschuppen 147 ;57635; Kircheib ; 02681 / 65538325 ; 0170 / 5749204 ; 02681 / 26369338 ; c.kloster@mail.xyz ; ja
660;16.08.2016; Frau ; Dr. ; Anabel ; Wieser ; 10.11.1930 ; Nauheimer Str. 163 ;85570; Markt Schwaben ; 08121 / 62138602 ; 0179 / 2577319 ; 08121 / 49162716 ; anabel.wieser@mail.xyz ; ja
661;03.06.2016; Frau ; Dr. ; Ulrike ; Hüttner ; 10.4.1968 ; Langeworth 21 ;26524; Halbemond ; 04931 / 77556646 ; 0178 / 5582894 ; 04931 / 91163674 ; u.huettner@mail.xyz ; ja
662;03.05.2016; Frau ; Prof. ; Julia ; Nichols ; 25.5.1931 ; Kerßenbrockstr. 48 ;25792; Neuenkirchen ; 04837 / 79977121 ; 0153 / 2456511 ; 04837 / 99445928 ; julia.nichols@mail.xyz ; ja
663;27.04.2016; Frau ; Prof. ; Lucie ; Engelhard ; 22.2.1925 ; Am Ziegelofen 161a ;41066; Mönchengladbach ; 02161 / 32526009 ; 0166 / 9799594 ; 02161 / 81523496 ; lucie.engelhard@mail.xyz ; ja
664;11.10.2016; Frau ; Dr. ; Rosa ; Meissner ; 23.4.1998 ; Paul-Engelhard-Weg 44 ;59329; Wadersloh ; 02523 / 93367977 ; 0174 / 4324486 ; 02523 / 23161393 ; rosa.meissner@mail.xyz ; ja
665;23.05.2016; Frau ; Dr. ; Annabell ; Bender ; 11.7.1972 ; Baumberger Str. 111 ;25376; Borsfleth ; 04824 / 76368925 ; 0175 / 4639008 ; 04824 / 49935038 ; annabell.bender@mail.xyz ; ja
666;01.06.2016; Herr ; Dr. ; Sam ; Beyer ; 16.10.1930 ; Soetenkamp 154 ;66978; Leimen ; 06331 / 13496279 ; 0160 / 2733115 ; 06331 / 21534328 ; s.beyer@mail.xyz ; ja
667;22.02.2016; Herr ; Dr. ; Jonah ; Santos ; 4.3.1951 ; Holunderweg 148 ;17237; Userin ; 03981 / 54847226 ; 0156 / 8610604 ; 03981 / 40647239 ; jonah.santos@mail.xyz ; ja
668;27.05.2016; Herr ; Dr. ; Mert ; Trost ; 14.4.1957 ; Am Nubbenberg 173 ;54689; Preischeid ; 06550 / 41932404 ; 0168 / 2087518 ; 06550 / 74291374 ; mert.trost@mail.xyz ; ja
669;03.12.2016; Herr ; Dr. ; Detlev ; Kretschmer ; 22.10.1962 ; Johann-Krane-Weg 84 ;82380; Peißenberg ; 08803 / 51416820 ; 0158 / 4471053 ; 08803 / 29219078 ; d.kretschmer@mail.xyz ; ja
670;01.12.2016; Frau ; Dr. ; Angelika ; Wiedmann ; 23.6.1969 ; Werseblick 89 ;57413; Finnentrop ; 02721 / 16967592 ; 0177 / 7597570 ; 02721 / 53751155 ; angelika.wiedmann@mail.xyz ; ja
671;09.12.2016; Herr ; Dr. ; Michel ; Genz ; 13.9.1925 ; Wollinstr. 56 ;89564; Nattheim ; 07321 / 74388295 ; 0153 / 3870473 ; 07321 / 5560011 ; m.genz@mail.xyz ; ja
672;24.10.2016; Herr ; Dr. ; Herbert ; Rack ; 4.3.1939 ; Wiedehagen 104 ;93476; Blaibach ; 09941 / 44474049 ; 0150 / 2196070 ; 09941 / 99884794 ; h.rack@mail.xyz ; ja
673;27.04.2016; Herr ; Dr. ; Timm ; Pütz ; 9.10.1972 ; Hahnenstr. 94 ;73773; Aichwald ; 0711 / 60077102 ; 0175 / 6033101 ; 0711 / 54507861 ; t.puetz@mail.xyz ; ja
674;21.10.2016; Frau ; Dr. ; Chantalle ; Sander ; 23.3.2000 ; Steinkamp 137 ;19230; Bandenitz ; 03883 / 68370659 ; 0167 / 3736643 ; 03883 / 14178555 ; c.sander@mail.xyz ; ja
675;31.10.2016; Frau ; Prof. ; Stephanie ; Gellert ; 26.1.1978 ; Am Grauen Stein 175 ;97762; Hammelburg ; 09732 / 21072346 ; 0159 / 9642226 ; 09732 / 7861780 ; s.gellert@mail.xyz ; ja
676;13.10.2016; Frau ; Dr. ; Marlene ; Kloster ; 21.5.1989 ; Hofstr. 67 ;36219; Cornberg ; 05650 / 58629514 ; 0164 / 6508197 ; 05650 / 62294675 ; m.kloster@mail.xyz ; ja
677;06.10.2016; Frau ; Prof. ; Birgit ; Hall ; 26.10.1986 ; Stolbergstr. 55 ;54608; Buchet ; 06551 / 32747328 ; 0174 / 2090804 ; 06551 / 72324232 ; b.hall@mail.xyz ; ja
678;30.12.2016; Frau ; Dr. ; Chiara ; Zacharias ; 21.8.1968 ; Dodostr. 63 ;39359; Böddensell ; 05804 / 55111614 ; 0176 / 6004375 ; 05804 / 28697813 ; chiara.zacharias@mail.xyz ; ja
679;08.04.2016; Herr ; Prof. ; Emil ; Geisler ; 4.1.1982 ; Rüschhausweg 133 ;79280; Au ; 0761 / 50118657 ; 0154 / 9908985 ; 0761 / 78106217 ; e.geisler@mail.xyz ; ja
680;24.06.2016; Frau ; Dr. ; Caroline ; Pierce ; 25.8.1929 ; Holunderweg 167 ;71299; Wimsheim ; 07044 / 68332254 ; 0164 / 3908269 ; 07044 / 87081256 ; caroline.pierce@mail.xyz ; ja
681;28.11.2016; Frau ; Dr. ; Aileen ; Anderson ; 4.12.1930 ; Münsterstr. 151 ;26556; Nenndorf ; 04975 / 54641062 ; 0177 / 3759720 ; 04975 / 9577011 ; aileen.anderson@mail.xyz ; ja
682;19.07.2016; Frau ; Dr. ; Käthe ; Liebig ; 27.12.1940 ; Wiedehagen 29 ;94569; Stephansposching ; 09935 / 83891978 ; 0155 / 6614422 ; 09935 / 95915191 ; kaethe.liebig@mail.xyz ; ja
683;10.03.2016; Frau ; Dr. ; Emma ; Motz ; 1.5.1960 ; Ostmarkstr. 180 ;30926; Seelze ; 05137 / 18128545 ; 0171 / 7540912 ; 05137 / 38518358 ; e.motz@mail.xyz ; ja
684;14.02.2016; Herr ; Dr. ; Leif ; Holloway ; 6.6.1932 ; Friedrich-Ebert-Str. 16 ;63906; Erlenbach am Main ; 09372 / 40119018 ; 0176 / 9706621 ; 09372 / 81403812 ; leif.holloway@mail.xyz ; ja
685;08.01.2016; Frau ; Dr. ; Antonia ; Sager ; 11.2.1951 ; Bielefelder Str. 100 ;99510; Apolda ; 03644 / 11698470 ; 0170 / 8627057 ; 03644 / 84892473 ; antonia.sager@mail.xyz ; ja
686;29.05.2016; Herr ; Dr. ; Mohamed ; Demel ; 23.4.1937 ; Ostmarkstr. 32 ;10783; Berlin ; 030 / 49622288 ; 0168 / 1368377 ; 030 / 87462875 ; mohamed.demel@mail.xyz ; ja
687;20.05.2016; Herr ; Dr. ; Bennett ; Kress ; 1.8.1947 ; Memmertweg 14 ;8349; Johanngeorgenstadt ; 03773 / 90795643 ; 0166 / 4297019 ; 03773 / 85039330 ; b.kress@mail.xyz ; ja
688;07.01.2016; Herr ; Dr. ; Yannic ; Reinartz ; 6.12.1967 ; Dauvemühle 36 ;82549; Königsdorf ; 08179 / 36191572 ; 0167 / 4562237 ; 08179 / 9802192 ; yannic.reinartz@mail.xyz ; ja
689;21.11.2016; Herr ; Dr. ; Bernhard ; Gaida ; 15.9.1978 ; Äußere Kanalstr. 57 ;21776; Wanna ; 04757 / 21496594 ; 0169 / 7550914 ; 04757 / 13693880 ; bernhard.gaida@mail.xyz ; ja
690;03.07.2016; Frau ; Dr. ; Carolina ; Hagen ; 17.7.1958 ; Guntherstr. 3 ;56244; Kuhnhöfen ; 02666 / 12552336 ; 0179 / 2903399 ; 02666 / 40405340 ; c.hagen@mail.xyz ; ja
691;28.12.2016; Herr ; Dr. ; Samuel ; Tacke ; 3.10.1941 ; Dammstr. 24 ;55278; Mommenheim ; 06138 / 94853954 ; 0179 / 8849260 ; 06138 / 64274824 ; samuel.tacke@mail.xyz ; ja
692;29.03.2016; Frau ; Dr. ; Sofia ; Kalmbach ; 9.6.1950 ; Lassallestr. 3 ;21710; Engelschoff ; 04144 / 45497296 ; 0178 / 4848892 ; 04144 / 89714206 ; sofia.kalmbach@mail.xyz ; ja
693;04.07.2016; Frau ; Dr. ; Amelie ; Summers ; 21.11.1970 ; Friesenring 117 ;26897; Hilkenbrook ; 05955 / 86952268 ; 0154 / 6695675 ; 05955 / 79159556 ; a.summers@mail.xyz ; ja
694;09.03.2016; Herr ; Prof. ; Patrick ; Eckel ; 17.9.1980 ; Starweg 74 ;56843; Starkenburg ; 06541 / 43087686 ; 0175 / 4468816 ; 06541 / 93904276 ; p.eckel@mail.xyz ; ja
